Season,Name,Team,PA,HR,RBI,AVG,SLG,NameASCII,PlayerId,MLBAMID
2015,"Miguel Sanó","MIN",335,18,52,0.268817204,0.530465949,"Miguel Sano",12164,593934
2016,"Yoenis Cespedes","NYM",543,31,86,0.279749478,0.530271398,"Yoenis Cespedes",13110,493316
2021,"C.J. Cron","COL",547,28,92,0.280851063,0.529787234,"C.J. Cron",12546,543068
2017,"Marwin Gonzalez","HOU",515,23,90,0.303296703,0.529670329,"Marwin Gonzalez",5497,503556
2021,"Rhys Hoskins","PHI",443,27,71,0.246786632,0.529562982,"Rhys Hoskins",16472,656555
2017,"Justin Turner","LAD",543,21,71,0.321663019,0.529540481,"Justin Turner",5235,457759
2016,"Edwin Encarnación","TOR",702,42,127,0.262895174,0.529118136,"Edwin Encarnacion",2151,429665
2020,"Tim Anderson","CHW",221,10,21,0.322115384,0.528846153,"Tim Anderson",15172,641313
2017,"Justin Smoak","TOR",637,38,90,0.269642857,0.528571428,"Justin Smoak",9054,475253
2022,"Austin Riley","ATL",693,38,93,0.273170731,0.528455284,"Austin Riley",18360,663586
2017,"Khris Davis","OAK",652,43,110,0.247349823,0.528268551,"Khris Davis",9112,501981
2018,"Aaron Judge","NYY",498,27,67,0.278450363,0.527845036,"Aaron Judge",15640,592450
2021,"Max Muncy","LAD",592,36,94,0.249496981,0.527162977,"Max Muncy",13301,571970
2018,"Miguel Andujar","NYY",606,27,92,0.296684118,0.52705061,"Miguel Andujar",15878,609280
2019,"J.D. Davis","NYM",453,22,57,0.307317073,0.526829268,"J.D. Davis",16219,605204
2022,"Byron Buxton","MIN",382,28,51,0.223529411,0.526470588,"Byron Buxton",14161,621439
2020,"Kole Calhoun","ARI",228,16,40,0.226315789,0.526315789,"Kole Calhoun",11200,594777
2018,"Eugenio Suárez","CIN",606,34,104,0.282732447,0.525616698,"Eugenio Suarez",12552,553993
2019,"Gary Sánchez","NYY",446,34,77,0.232323232,0.525252525,"Gary Sanchez",11442,596142
2019,"Nick Castellanos","- - -",664,27,73,0.289430894,0.525203252,"Nick Castellanos",11737,592206
2023,"Cody Bellinger","CHC",556,26,97,0.306613226,0.5250501,"Cody Bellinger",15998,641355
2016,"Khris Davis","OAK",610,42,102,0.246846846,0.524324324,"Khris Davis",9112,501981
2019,"Mookie Betts","BOS",706,29,80,0.29480737,0.524288107,"Mookie Betts",13611,605141
2019,"Willie Calhoun","TEX",337,21,48,0.268608414,0.524271844,"Willie Calhoun",17838,641432
2016,"Ryon Healy","OAK",283,13,37,0.304832713,0.524163568,"Ryon Healy",15447,592387
2019,"David Dahl","COL",413,15,61,0.302139037,0.524064171,"David Dahl",13744,621311
2021,"Teoscar Hernández","TOR",595,32,116,0.296363636,0.523636363,"Teoscar Hernandez",13066,606192
